test,cost,costNorm,pred,testSeq,trainSeq
eat,0.5807368932807804,0.001444619137514379,eat,"[[-21.738783  -20.03908   -20.4265    ... -21.246378  -21.209509
  -21.355253 ]
 [-20.551283  -20.130878  -20.26234   ... -20.0954    -19.831238
  -20.266014 ]
 [-21.085075  -20.652208  -19.800814  ... -20.042603  -20.128065
  -20.407272 ]
 ...
 [ -5.5471244  -5.253982   -8.498901  ... -18.529676  -20.434547
  -20.247314 ]
 [ -4.5500226  -4.410654   -7.488327  ... -18.826496  -19.871832
  -19.769806 ]
 [ -6.0030675  -6.1066575  -7.822896  ... -18.220566  -19.135586
  -18.918537 ]]","[[-21.738783  -20.03908   -20.4265    ... -21.246378  -21.209509
  -21.355253 ]
 [-20.551283  -20.130878  -20.26234   ... -20.0954    -19.831238
  -20.266014 ]
 [-21.085075  -20.652208  -19.800814  ... -20.042603  -20.128065
  -20.407272 ]
 ...
 [ -8.374321   -7.938374   -7.329133  ... -18.413038  -20.109789
  -20.258106 ]
 [ -6.8943577  -7.7427034  -7.567316  ... -18.592655  -19.891827
  -19.8917   ]
 [ -6.655224   -6.530483   -7.375362  ... -16.732805  -16.681305
  -16.874607 ]]"
eat,0.5455326911823953,0.0013570464954785954,eat,"[[-21.738783  -20.03908   -20.4265    ... -21.246378  -21.209509
  -21.355253 ]
 [-20.551283  -20.130878  -20.26234   ... -20.0954    -19.831238
  -20.266014 ]
 [-21.085075  -20.652208  -19.800814  ... -20.042603  -20.128065
  -20.407272 ]
 ...
 [ -7.8110166  -7.0537586  -6.779178  ... -19.098055  -20.307283
  -20.087498 ]
 [ -7.683228   -6.8713465  -7.046738  ... -18.694906  -19.844559
  -19.792105 ]
 [ -7.267563   -7.0240526  -7.763219  ... -16.352903  -16.588945
  -16.731928 ]]","[[-21.738783  -20.03908   -20.4265    ... -21.246378  -21.209509
  -21.355253 ]
 [-20.551283  -20.130878  -20.26234   ... -20.0954    -19.831238
  -20.266014 ]
 [-21.085075  -20.652208  -19.800814  ... -20.042603  -20.128065
  -20.407272 ]
 ...
 [ -8.377334   -6.730904   -7.9720025 ... -18.948849  -20.146612
  -20.081676 ]
 [ -7.9095864  -6.9564233  -6.711377  ... -18.10535   -19.894548
  -19.791494 ]
 [ -8.30524    -7.4388657  -7.7875347 ... -17.885603  -18.789814
  -19.295012 ]]"
eat,0.5507033352495585,0.0013699087941531306,eat,"[[-21.738783  -20.03908   -20.4265    ... -21.246378  -21.209509
  -21.355253 ]
 [-20.551283  -20.130878  -20.26234   ... -20.0954    -19.831238
  -20.266014 ]
 [-21.085075  -20.652208  -19.800814  ... -20.042603  -20.128065
  -20.407272 ]
 ...
 [ -6.536114   -5.66639    -7.1031365 ... -18.496403  -20.026918
  -20.121582 ]
 [ -4.5381784  -4.829237   -7.3102345 ... -17.93317   -19.927881
  -20.008516 ]
 [ -5.8322234  -5.634191   -6.803731  ... -18.27541   -20.135357
  -19.843073 ]]","[[-21.738783  -20.03908   -20.4265    ... -21.246378  -21.209509
  -21.355253 ]
 [-20.551283  -20.130878  -20.26234   ... -20.0954    -19.831238
  -20.266014 ]
 [-21.085075  -20.652208  -19.800814  ... -20.042603  -20.128065
  -20.407272 ]
 ...
 [ -8.374321   -7.938374   -7.329133  ... -18.413038  -20.109789
  -20.258106 ]
 [ -6.8943577  -7.7427034  -7.567316  ... -18.592655  -19.891827
  -19.8917   ]
 [ -6.655224   -6.530483   -7.375362  ... -16.732805  -16.681305
  -16.874607 ]]"
eat,0.59800795454237,0.0014875819764735572,eat,"[[-21.738783  -20.03908   -20.4265    ... -21.246378  -21.209509
  -21.355253 ]
 [-20.551283  -20.130878  -20.26234   ... -20.0954    -19.831238
  -20.266014 ]
 [-21.085075  -20.652208  -19.800814  ... -20.042603  -20.128065
  -20.407272 ]
 ...
 [ -5.869909   -4.966016   -5.5870695 ... -18.520884  -20.207062
  -19.76784  ]
 [ -5.0750675  -5.3234615  -6.5657525 ... -18.270117  -20.1491
  -19.77672  ]
 [ -6.186541   -6.53443    -8.1881895 ... -18.764465  -19.230219
  -18.95229  ]]","[[-21.738783  -20.03908   -20.4265    ... -21.246378  -21.209509
  -21.355253 ]
 [-20.551283  -20.130878  -20.26234   ... -20.0954    -19.831238
  -20.266014 ]
 [-21.085075  -20.652208  -19.800814  ... -20.042603  -20.128065
  -20.407272 ]
 ...
 [ -6.1023746  -6.703205   -7.953711  ... -18.738806  -20.393017
  -19.972567 ]
 [ -7.471565   -6.527517   -7.3040814 ... -19.004967  -19.995283
  -19.934826 ]
 [ -8.094264   -8.214536   -8.658851  ... -19.074387  -20.177456
  -20.076008 ]]"
eat,0.5483302377132349,0.001364005566450833,eat,"[[-21.738783  -20.03908   -20.4265    ... -21.246378  -21.209509
  -21.355253 ]
 [-20.551283  -20.130878  -20.26234   ... -20.0954    -19.831238
  -20.266014 ]
 [-21.085075  -20.652208  -19.800814  ... -20.042603  -20.128065
  -20.407272 ]
 ...
 [ -5.339214   -6.037258   -8.183044  ... -18.326393  -20.188906
  -19.940998 ]
 [ -4.9976873  -4.749689   -6.378291  ... -18.270864  -20.053526
  -19.855095 ]
 [ -6.550641   -6.064239   -7.3175945 ... -17.398945  -18.503748
  -18.370947 ]]","[[-21.738783  -20.03908   -20.4265    ... -21.246378  -21.209509
  -21.355253 ]
 [-20.551283  -20.130878  -20.26234   ... -20.0954    -19.831238
  -20.266014 ]
 [-21.085075  -20.652208  -19.800814  ... -20.042603  -20.128065
  -20.407272 ]
 ...
 [ -6.1023746  -6.703205   -7.953711  ... -18.738806  -20.393017
  -19.972567 ]
 [ -7.471565   -6.527517   -7.3040814 ... -19.004967  -19.995283
  -19.934826 ]
 [ -8.094264   -8.214536   -8.658851  ... -19.074387  -20.177456
  -20.076008 ]]"
eat,0.5490427324700078,0.001365777941467681,eat,"[[-21.738783  -20.03908   -20.4265    ... -21.246378  -21.209509
  -21.355253 ]
 [-20.551283  -20.130878  -20.26234   ... -20.0954    -19.831238
  -20.266014 ]
 [-21.085075  -20.652208  -19.800814  ... -20.042603  -20.128065
  -20.407272 ]
 ...
 [ -5.9067006  -5.3385925  -6.155791  ... -18.560322  -20.246923
  -20.15467  ]
 [ -6.2542996  -6.373692   -7.8040752 ... -18.78015   -20.007631
  -19.92642  ]
 [ -9.409556  -10.895908   -8.943931  ... -18.773905  -19.356155
  -19.980858 ]]","[[-21.738783  -20.03908   -20.4265    ... -21.246378  -21.209509
  -21.355253 ]
 [-20.551283  -20.130878  -20.26234   ... -20.0954    -19.831238
  -20.266014 ]
 [-21.085075  -20.652208  -19.800814  ... -20.042603  -20.128065
  -20.407272 ]
 ...
 [ -8.377334   -6.730904   -7.9720025 ... -18.948849  -20.146612
  -20.081676 ]
 [ -7.9095864  -6.9564233  -6.711377  ... -18.10535   -19.894548
  -19.791494 ]
 [ -8.30524    -7.4388657  -7.7875347 ... -17.885603  -18.789814
  -19.295012 ]]"
eat,0.4482639975286362,0.0011150845709667569,eat,"[[-21.738783  -20.03908   -20.4265    ... -21.246378  -21.209509
  -21.355253 ]
 [-20.551283  -20.130878  -20.26234   ... -20.0954    -19.831238
  -20.266014 ]
 [-21.085075  -20.652208  -19.800814  ... -20.042603  -20.128065
  -20.407272 ]
 ...
 [ -8.617748   -6.892748   -7.3349514 ... -18.313564  -20.431063
  -20.26997  ]
 [ -7.9797425  -7.1824436  -8.223982  ... -18.32299   -20.037968
  -20.008244 ]
 [ -9.562268   -8.623649   -7.9785795 ... -17.644234  -18.23326
  -18.076841 ]]","[[-21.738783  -20.03908   -20.4265    ... -21.246378  -21.209509
  -21.355253 ]
 [-20.551283  -20.130878  -20.26234   ... -20.0954    -19.831238
  -20.266014 ]
 [-21.085075  -20.652208  -19.800814  ... -20.042603  -20.128065
  -20.407272 ]
 ...
 [ -7.7324247  -7.750739   -8.441706  ... -18.103771  -20.764717
  -20.174746 ]
 [ -6.7491565  -7.6859975  -7.8423176 ... -18.238361  -19.936718
  -19.919235 ]
 [ -8.544779   -8.739102   -7.8867545 ... -19.106813  -20.20784
  -20.641571 ]]"
eat,0.5606288202949677,0.0013945990554601188,eat,"[[-21.738783  -20.03908   -20.4265    ... -21.246378  -21.209509
  -21.355253 ]
 [-20.551283  -20.130878  -20.26234   ... -20.0954    -19.831238
  -20.266014 ]
 [-21.085075  -20.652208  -19.800814  ... -20.042603  -20.128065
  -20.407272 ]
 ...
 [ -5.5605354  -4.794837   -7.0640435 ... -17.872858  -20.409464
  -20.149263 ]
 [ -5.565281   -5.4123893  -7.443164  ... -17.968298  -20.14827
  -19.926485 ]
 [ -5.545231   -5.599765   -6.6714277 ... -17.183432  -17.65284
  -18.002499 ]]","[[-21.738783  -20.03908   -20.4265    ... -21.246378  -21.209509
  -21.355253 ]
 [-20.551283  -20.130878  -20.26234   ... -20.0954    -19.831238
  -20.266014 ]
 [-21.085075  -20.652208  -19.800814  ... -20.042603  -20.128065
  -20.407272 ]
 ...
 [ -8.377334   -6.730904   -7.9720025 ... -18.948849  -20.146612
  -20.081676 ]
 [ -7.9095864  -6.9564233  -6.711377  ... -18.10535   -19.894548
  -19.791494 ]
 [ -8.30524    -7.4388657  -7.7875347 ... -17.885603  -18.789814
  -19.295012 ]]"
eat,0.5201045392332689,0.0012937923861524104,eat,"[[-21.738783  -20.03908   -20.4265    ... -21.246378  -21.209509
  -21.355253 ]
 [-20.551283  -20.130878  -20.26234   ... -20.0954    -19.831238
  -20.266014 ]
 [-21.085075  -20.652208  -19.800814  ... -20.042603  -20.128065
  -20.407272 ]
 ...
 [ -6.6111555  -6.8337984  -6.082395  ... -17.918884  -20.491682
  -20.124807 ]
 [ -7.296178   -7.187874   -8.332853  ... -18.323982  -20.029514
  -20.05405  ]
 [ -9.0625105  -7.521526   -7.3847113 ... -18.825455  -19.510609
  -19.337515 ]]","[[-21.738783  -20.03908   -20.4265    ... -21.246378  -21.209509
  -21.355253 ]
 [-20.551283  -20.130878  -20.26234   ... -20.0954    -19.831238
  -20.266014 ]
 [-21.085075  -20.652208  -19.800814  ... -20.042603  -20.128065
  -20.407272 ]
 ...
 [ -8.374321   -7.938374   -7.329133  ... -18.413038  -20.109789
  -20.258106 ]
 [ -6.8943577  -7.7427034  -7.567316  ... -18.592655  -19.891827
  -19.8917   ]
 [ -6.655224   -6.530483   -7.375362  ... -16.732805  -16.681305
  -16.874607 ]]"
eat,0.5292554541233231,0.0013165558560281668,eat,"[[-21.738783  -20.03908   -20.4265    ... -21.246378  -21.209509
  -21.355253 ]
 [-20.551283  -20.130878  -20.26234   ... -20.0954    -19.831238
  -20.266014 ]
 [-21.085075  -20.652208  -19.800814  ... -20.042603  -20.128065
  -20.407272 ]
 ...
 [ -5.7671843  -5.011668   -5.957154  ... -18.471922  -20.35027
  -20.123339 ]
 [ -6.521342   -5.4580655  -6.220498  ... -18.460417  -20.152355
  -20.003466 ]
 [ -7.9141707  -7.963765   -7.45534   ... -17.814808  -18.272612
  -18.099962 ]]","[[-21.738783  -20.03908   -20.4265    ... -21.246378  -21.209509
  -21.355253 ]
 [-20.551283  -20.130878  -20.26234   ... -20.0954    -19.831238
  -20.266014 ]
 [-21.085075  -20.652208  -19.800814  ... -20.042603  -20.128065
  -20.407272 ]
 ...
 [ -6.579177   -5.723433   -7.23486   ... -18.559847  -20.323969
  -20.08576  ]
 [ -5.8428473  -5.0461264  -6.7693043 ... -18.272501  -20.125381
  -19.698    ]
 [ -6.4751678  -6.4093313  -7.623974  ... -17.193392  -17.309875
  -17.200481 ]]"
